"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"1001455","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,20,5548,"Fall",253875,831
"1001800F","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,2009,"Spring",138965.77,5
"1001814","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,15,6604,"Fall",166050,89
"1002184","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,15,6641,"Fall",166550,248
"1002237","Institutions of Higher Education","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,14,4351,"Spring",60000,333
"1002758I","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",13,7,364,"Summer",96750,16
"1003428","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,14,5584,"Fall",72000,1201
"1003692","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,16,3064,"Summer",3500,364
"1003828","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,14,3012,"Spring",53300,0
"1003943","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",1,13,4721,"Fall",3156832.08,316
"1004183","Industry","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,7,3664,"Fall",83882.97,695
"1004308B","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,6,1674,"Summer",556930,14
"1004308C","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,5,1094,"Spring",532828,135
"1004321E","Others","Non-Federal","Award Project","UW Grant","Instruction - Sponsored",3,6,1460,"Summer",223448.22,0
"1004332","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,14,2375,"Summer",2519096.53,30
"1004332A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,14,2375,"Summer",325362.47,98
"1004359M","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,6,580,"Summer",792071.85,0
"1004359N","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,6,549,"Summer",114779.01,0
"1004361","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,8,2648,"Summer",18,42
"1004361D","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,5,2648,"Summer",790408.43,836
"1004373","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",11,6,2177,"Spring",159576.82,138
"1004409","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,9,1978,"Spring",244235,487
"1004486","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,12,2191,"Fall",7833908,35
"1004515","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,9,2191,"Spring",3060000,0
"1004515D","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,9,2191,"Spring",6e+06,90
"1004517","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",16,11,2191,"Fall",7661816,22
"1004517CS-2","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",16,3,2191,"Fall",100710.5,488
"1004519B","State","Federal","Award Project","UW Grant","Research - Sponsored",10,9,2113,"Fall",484771.65,653
"1004519C","State","Federal","Award Project","UW Grant","Research - Sponsored",10,9,2113,"Fall",511868.34,623
"1004519D","State","Federal","Award Project","UW Grant","Research - Sponsored",10,7,2113,"Fall",23902.88,1688
"1004542","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",4,7,2284,"Fall",396000,80
"1004574D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,4,609,"Spring",611235,0
"1004606","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,10,2191,"Spring",21500,11
"1004616","State","Federal","Award Project","UW Grant","Research - Sponsored",1,12,1448,"Spring",119847.2,169
"1004685","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,11,1825,"Summer",231164,30
"1004709","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,9,1948,"Spring",1491791,91
"1004769A","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,4,426,"Spring",28028,14
"1004809","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,10,1825,"Fall",3750392,44
"1004809UM","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,8,1825,"Fall",865931,10
"1004809UNR","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,8,1825,"Fall",1378488,20
"1004829","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,15,1825,"Fall",1633540,14
"1004841","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,11,1825,"Fall",176729.49,56
"1004858CS1","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,1825,"Summer",4543.52,882
"1004925","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,14,1825,"Fall",33600,232
"1004933C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,9,1675,"Fall",929030.5,465
"1004933D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,8,1675,"Fall",41849.72,1087
"1004956","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",11,6,1706,"Fall",63000,33
"1004961","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",32,12,1825,"Fall",43951,962
"1004961CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",32,12,1825,"Fall",43951,638
"1004964B","Industry","Federal","Award Project","UW Grant","Research - Sponsored",2,9,343,"Summer",122000,101
"1004990","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",32,12,1825,"Fall",43481,1099
"1005029","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,7,3066,"Fall",27100,218
"1005058","State","Federal","Award Project","UW Grant","Public Service - Sponsored",3,14,1779,"Spring",637563,60
