"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Predicted_days_RF","Project Start Date","Predicted_date_RF"
"1004359F","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,9,2010,"Summer",4000,196,2019-07-01,2020-01-13
"1004680CS6","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Instruction - Sponsored",9,5,1825,"Summer",917770,59,2020-06-10,2020-08-08
"1004866B","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,5,287,"Fall",375000,13,2024-12-17,2024-12-30
"1005271V","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",25,5,364,"Fall",23840,54,2024-09-01,2024-10-25
"1005308","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,4,1952,"Summer",457600,88,2021-08-27,2021-11-23
"1005308CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",22,4,1952,"Summer",114000,121,2021-08-27,2021-12-26
"1005309","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,6,1952,"Summer",20000,232,2021-08-27,2022-04-16
"1005309CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",22,6,1952,"Summer",5000,236,2021-08-27,2022-04-20
"1005358","State","Federal","Award Project","UW Grant","Research - Sponsored",29,3,1715,"Fall",30000,130,2021-10-19,2022-02-26
"1005444","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,13,1917,"Summer",0,119,2021-06-01,2021-09-28
"1005495","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,5,1794,"Spring",0,136,2022-04-01,2022-08-15
"1005747","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,4,1279,"Summer",4000,220,2022-07-01,2023-02-06
"1005771","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",32,9,1825,"Fall",0,325,2022-10-01,2023-08-22
"1005795CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",5,5,1095,"Fall",2000,174,2022-11-15,2023-05-08
"1005856BCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Public Service - Sponsored",5,4,364,"Spring",20000,75,2025-01-01,2025-03-17
"1005871","State","Federal","Award Project","UW Grant","Public Service - Sponsored",22,4,1058,"Spring",28000,45,2023-02-07,2023-03-24
"1005891","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,3755,"Fall",1200,295,2022-12-20,2023-10-11
"1005898","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",25,4,1549,"Spring",0,113,2023-04-03,2023-07-25
"1006001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",12,3,456,"Summer",0,90,2024-07-01,2024-09-29
"1006005","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,456,"Summer",1,82,2025-07-01,2025-09-21
"1006006","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,456,"Summer",1,82,2025-07-01,2025-09-21
"1006007","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,456,"Summer",380400,24,2025-07-01,2025-07-25
"1006008","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,456,"Summer",502688,17,2025-07-01,2025-07-18
"1006009","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,456,"Summer",1,82,2025-07-01,2025-09-21
"231210A0002","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",5,4,470,"Summer",31000,57,2024-07-19,2024-09-14
"231369A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,4,392,"Fall",48000,40,2024-09-03,2024-10-13
"231497A0003","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,729,"Fall",310542,32,2024-10-01,2024-11-02
"231497A0003A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,729,"Fall",108413,54,2024-10-01,2024-11-24
"231524A0001CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",9,6,1184,"Summer",376461,55,2023-06-01,2023-07-26
"231532A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,4,1293,"Summer",261590,71,2024-07-17,2024-09-26
"231532A0001E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,5,364,"Fall",13400,49,2024-12-01,2025-01-19
"231549A0001PC","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,8,1184,"Fall",30000,193,2023-09-01,2024-03-12
