"Project Number","Project Fund Source","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Reduced_FA","subawards subcontracts","Approval_Required","Chemical_or_Hazard","Foreign_Involvement","Technology_or_IP_Involved","Predicted_days_RF","Project Start Date","Predicted_date_RF"
"231210A0002","Federal","Others",5,4,470,"Summer",31000,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",49,2024-07-19,2024-09-06
"231369A0002","State","Research - Sponsored",4,4,392,"Fall",48000,"Reduced Indirect Cost On Campus","No","Yes","No","No","No",40,2024-09-03,2024-10-13
"231497A0003","Federal","Others",12,4,729,"Fall",310542,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",61,2024-10-01,2024-12-01
"231620A0002","State","Research - Sponsored",6,5,530,"Fall",300000,"No Reduction","No","Unknown","No","No","No",43,2024-12-17,2025-01-29
"231771A0004","Others","Research - Sponsored",3,6,323,"Fall",80120,"No Reduction","No","Unknown","No","Yes","No",52,2024-10-11,2024-12-02
"231860A0001","State","Research - Sponsored",29,3,914,"Summer",6000,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",125,2023-07-01,2023-11-03
"231883A0002","State","Research - Sponsored",3,5,2191,"Spring",66213.39,"No Reduction","No","Unknown","No","No","Yes",49,2024-01-01,2024-02-19
"240023A0001","Others","Research - Sponsored",12,4,1094,"Spring",16506,"No Reduction","No","Unknown","No","No","No",111,2024-05-01,2024-08-20
"240133A0001","Federal","Research - Sponsored",10,4,1737,"Summer",22643,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",104,2024-08-27,2024-12-09
"240134A0001","Others","Research - Sponsored",16,4,546,"Spring",955000,"Reduced Indirect Cost On Campus","Yes","Unknown","Yes","Yes","Yes",29,2024-02-01,2024-03-01
"240170A0002","State","Others",1,4,365,"Summer",18000,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",40,2023-08-02,2023-09-11
"240319A0005","Federal","Research - Sponsored",29,4,639,"Spring",60000,"No Reduction","No","Unknown","No","No","No",109,2025-04-16,2025-08-03
"240319A0006","State","Research - Sponsored",29,5,685,"Spring",72000,"No Reduction","No","Unknown","No","No","No",130,2025-05-15,2025-09-22
"240344A0002","Federal","Research - Sponsored",23,3,994,"Spring",6208.52,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",103,2025-04-11,2025-07-23
"240450A0001","Federal","Others",9,6,1826,"Fall",209168.25,"Reduced Indirect Cost Off Campus","No","Unknown","No","No","No",17,2023-10-01,2023-10-18
"240482A0002","Federal","Research - Sponsored",173,4,730,"Fall",0,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",185,2023-10-01,2024-04-03
"240483A0002","Federal","Research - Sponsored",173,5,729,"Fall",12024,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",160,2024-10-01,2025-03-10
"240484A0001","Federal","Research - Sponsored",173,4,730,"Fall",0,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",185,2023-10-01,2024-04-03
"240484A0002","Federal","Research - Sponsored",173,5,729,"Fall",749507.18,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",63,2024-10-01,2024-12-03
"240485A0002","Federal","Research - Sponsored",173,5,729,"Fall",508377.09,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",92,2024-10-01,2025-01-01
"240498A0001","State","Research - Sponsored",3,4,653,"Fall",11939,"No Reduction","No","Unknown","No","No","No",84,2024-09-15,2024-12-08
"240500A0001","Federal","Research - Sponsored",3,4,1279,"Spring",749924,"No Reduction","Yes","Yes","No","No","No",20,2025-05-01,2025-05-21
"240533A0001","Others","Research - Sponsored",6,6,2921,"Summer",0,"No Reduction","No","Unknown","No","No","No",105,2023-06-01,2023-09-14
"240549A0001","Others","Research - Sponsored",2,4,2555,"Fall",14083,"No Reduction","No","Unknown","No","No","No",70,2024-09-01,2024-11-10
"240567A0001","State","Others",22,3,1038,"Fall",90000,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",116,2023-11-27,2024-03-22
"240568A0001","State","Others",22,3,1038,"Fall",89250,"Reduced Indirect Cost On Campus","No","Unknown","No","No","No",113,2023-11-27,2024-03-19
