"Project Organization","Expenditure Month Year","Total Expenditure Amount"
"AVP for Economic Development Office","2024-10",2188.26
"Academic Technology Services","2022-08",77.84
"Accounting & Finance","2022-03",211.64
"Accounting & Finance","2022-04",21.9
"Accounting & Finance","2022-05",519.72
"Accounting & Finance","2022-06",8307.14
"Accounting & Finance","2022-07",631.8
"Accounting & Finance","2022-08",77.66
"Accounting & Finance","2022-09",537.03
"Accounting & Finance","2022-10",1043.54
"Accounting & Finance","2022-11",243.75
"Accounting & Finance","2022-12",514.14
"Accounting & Finance","2023-05",2373.37
"Accounting & Finance","2023-06",148.2
"Accounting & Finance","2023-07",13539.58
"Accounting & Finance","2023-08",695.3
"Accounting & Finance","2023-09",1764.39
"Accounting & Finance","2023-10",1491.81
"Accounting & Finance","2023-11",9450.89
"Accounting & Finance","2023-12",6058.28
"Accounting & Finance","2024-01",26.99
"Accounting & Finance","2024-02",4415.64
"Accounting & Finance","2024-03",410.32
"Accounting & Finance","2024-04",458.82
"Accounting & Finance","2024-05",14532.31
"Accounting & Finance","2024-06",1028.34
"Accounting & Finance","2024-07",35.88
"Accounting & Finance","2024-08",583.29
"Accounting & Finance","2024-09",9.67
"Accounting & Finance","2024-10",338.42
"Accounting & Finance","2024-11",8180.27
"Accounting & Finance","2024-12",14777.61
"Accounting & Finance","2025-01",29.34
"Accounting & Finance","2025-02",120.62
"Accounting & Finance","2025-03",353.39
"Accounting & Finance","2025-04",410.08
"Accounting & Finance","2025-05",61.42
"Agricultural Experiment Station","2022-10",97.99
"Agricultural Experiment Station","2022-12",92.5
"Agricultural Experiment Station","2023-03",20.4
"Agricultural Experiment Station","2023-04",4.29
"Agricultural Experiment Station","2023-05",66.64
"Agricultural Experiment Station","2023-06",9.92
"Agricultural Experiment Station","2023-07",14.44
"Agricultural Experiment Station","2023-08",1.84
"Agricultural Experiment Station","2023-11",2.58
"Agricultural Experiment Station","2023-12",15.93
"Agricultural Experiment Station","2024-01",57.03
"Agricultural Experiment Station","2024-02",67.76
"Agriculture & Applied Economics","2021-07",1402.36
"Agriculture & Applied Economics","2021-08",1937.45
"Agriculture & Applied Economics","2021-09",7198.76
"Agriculture & Applied Economics","2021-10",1259.79
"Agriculture & Applied Economics","2021-11",6391.92
"Agriculture & Applied Economics","2021-12",320.97
"Agriculture & Applied Economics","2022-01",1222.67
"Agriculture & Applied Economics","2022-02",1777.62
"Agriculture & Applied Economics","2022-03",2601.86
"Agriculture & Applied Economics","2022-04",1584.06
"Agriculture & Applied Economics","2022-05",7456.99
"Agriculture & Applied Economics","2022-06",1132.05
"Agriculture & Applied Economics","2022-07",1581.55
"Agriculture & Applied Economics","2022-08",1001.38
"Agriculture & Applied Economics","2022-09",22795.36
"Agriculture & Applied Economics","2022-10",1839.65
"Agriculture & Applied Economics","2022-11",1402.59
"Agriculture & Applied Economics","2022-12",707.39
"Agriculture & Applied Economics","2023-01",983.8
"Agriculture & Applied Economics","2023-02",855.87
"Agriculture & Applied Economics","2023-03",1107.12
"Agriculture & Applied Economics","2023-04",873.48
"Agriculture & Applied Economics","2023-05",587.93
"Agriculture & Applied Economics","2023-06",9988.57
"Agriculture & Applied Economics","2023-07",3832.51
"Agriculture & Applied Economics","2023-08",8175.05
"Agriculture & Applied Economics","2023-09",1420.95
"Agriculture & Applied Economics","2023-10",3020.64
