Project Organization,Month Year,Total IC Amount
AVP for Economic Development Office,2024-10,2188.26
Academic Technology Services,2022-08,77.84
Accounting & Finance,2022-03,211.64
Accounting & Finance,2022-04,21.9
Accounting & Finance,2022-05,519.72
Accounting & Finance,2022-06,8307.14
Accounting & Finance,2022-07,631.8
Accounting & Finance,2022-08,77.66
Accounting & Finance,2022-09,537.03
Accounting & Finance,2022-10,1043.54
Accounting & Finance,2022-11,243.75
Accounting & Finance,2022-12,514.14
Accounting & Finance,2023-05,2373.37
Accounting & Finance,2023-06,148.2
Accounting & Finance,2023-07,13539.58
Accounting & Finance,2023-08,695.3
Accounting & Finance,2023-09,1764.39
Accounting & Finance,2023-10,1491.81
Accounting & Finance,2023-11,9450.89
Accounting & Finance,2023-12,6058.28
Accounting & Finance,2024-01,26.99
Accounting & Finance,2024-02,4415.64
Accounting & Finance,2024-03,410.32
Accounting & Finance,2024-04,458.82
Accounting & Finance,2024-05,14532.31
Accounting & Finance,2024-06,1028.34
Accounting & Finance,2024-07,35.88
Accounting & Finance,2024-08,583.29
Accounting & Finance,2024-09,9.67
Accounting & Finance,2024-10,338.42
Accounting & Finance,2024-11,8180.27
Accounting & Finance,2024-12,14777.61
Accounting & Finance,2025-01,29.34
Accounting & Finance,2025-02,120.62
Accounting & Finance,2025-03,353.39
Accounting & Finance,2025-04,410.08
Accounting & Finance,2025-05,61.42
Agricultural Experiment Station,2014-09,9.1
Agricultural Experiment Station,2014-10,36.38
Agricultural Experiment Station,2015-05,371.36
Agricultural Experiment Station,2015-06,534.11
Agricultural Experiment Station,2015-07,1325.28
Agricultural Experiment Station,2015-08,385.92
Agricultural Experiment Station,2015-09,1686.34
Agricultural Experiment Station,2015-11,3357.6
Agricultural Experiment Station,2015-12,2315.91
Agricultural Experiment Station,2016-01,-5646.51
Agricultural Experiment Station,2016-02,893.53
Agricultural Experiment Station,2016-03,893.83
Agricultural Experiment Station,2016-04,893.8
Agricultural Experiment Station,2016-05,893.59
Agricultural Experiment Station,2016-06,1307.1
Agricultural Experiment Station,2016-07,895.43
Agricultural Experiment Station,2016-08,1156.97
Agricultural Experiment Station,2016-09,1203.84
Agricultural Experiment Station,2016-10,1458.94
Agricultural Experiment Station,2016-11,1521.39
Agricultural Experiment Station,2016-12,1215.49
Agricultural Experiment Station,2017-01,1154.24
Agricultural Experiment Station,2017-02,1154.23
Agricultural Experiment Station,2017-03,1177.02
Agricultural Experiment Station,2017-04,1153.7
Agricultural Experiment Station,2017-05,1242.77
Agricultural Experiment Station,2017-06,1777.93
Agricultural Experiment Station,2017-07,1.94
Agricultural Experiment Station,2017-08,8.44
Agricultural Experiment Station,2017-09,8.44
Agricultural Experiment Station,2017-10,8.44
Agricultural Experiment Station,2017-11,8.44
Agricultural Experiment Station,2017-12,8.44
Agricultural Experiment Station,2018-01,368.94
Agricultural Experiment Station,2018-02,8.44
Agricultural Experiment Station,2018-03,126.46
Agricultural Experiment Station,2018-04,249.95
Agricultural Experiment Station,2018-05,562.13
Agricultural Experiment Station,2018-06,8.44
Agricultural Experiment Station,2018-07,21.54
Agricultural Experiment Station,2018-08,8.44
Agricultural Experiment Station,2019-08,20.16
Agricultural Experiment Station,2019-09,137.08
Agricultural Experiment Station,2019-12,1384.17
Agricultural Experiment Station,2020-03,5
Agricultural Experiment Station,2020-07,199.81
