"Project Organization","Expenditure Month Year","Total Expenditure Amount","Expenditure Date"
"AVP for Economic Development Office","2024-10",2188.26,2024-10-01
"Academic Technology Services","2022-08",77.84,2022-08-01
"Accounting & Finance","2022-03",211.64,2022-03-01
"Accounting & Finance","2022-04",21.9,2022-04-01
"Accounting & Finance","2022-05",519.72,2022-05-01
"Accounting & Finance","2022-06",8307.14,2022-06-01
"Accounting & Finance","2022-07",631.8,2022-07-01
"Accounting & Finance","2022-08",77.66,2022-08-01
"Accounting & Finance","2022-09",537.03,2022-09-01
"Accounting & Finance","2022-10",1043.54,2022-10-01
"Accounting & Finance","2022-11",243.75,2022-11-01
"Accounting & Finance","2022-12",514.14,2022-12-01
"Accounting & Finance","2023-05",2373.37,2023-05-01
"Accounting & Finance","2023-06",148.2,2023-06-01
"Accounting & Finance","2023-07",13539.58,2023-07-01
"Accounting & Finance","2023-08",695.3,2023-08-01
"Accounting & Finance","2023-09",1764.39,2023-09-01
"Accounting & Finance","2023-10",1491.81,2023-10-01
"Accounting & Finance","2023-11",9450.89,2023-11-01
"Accounting & Finance","2023-12",6058.28,2023-12-01
"Accounting & Finance","2024-01",26.99,2024-01-01
"Accounting & Finance","2024-02",4415.64,2024-02-01
"Accounting & Finance","2024-03",410.32,2024-03-01
"Accounting & Finance","2024-04",458.82,2024-04-01
"Accounting & Finance","2024-05",14532.31,2024-05-01
"Accounting & Finance","2024-06",1028.34,2024-06-01
"Accounting & Finance","2024-07",35.88,2024-07-01
"Accounting & Finance","2024-08",583.29,2024-08-01
"Accounting & Finance","2024-09",9.67,2024-09-01
"Accounting & Finance","2024-10",338.42,2024-10-01
"Accounting & Finance","2024-11",8180.27,2024-11-01
"Accounting & Finance","2024-12",14777.61,2024-12-01
"Accounting & Finance","2025-01",29.34,2025-01-01
"Accounting & Finance","2025-02",120.62,2025-02-01
"Accounting & Finance","2025-03",353.39,2025-03-01
"Accounting & Finance","2025-04",410.08,2025-04-01
"Accounting & Finance","2025-05",61.42,2025-05-01
"Agricultural Experiment Station","2022-10",97.99,2022-10-01
"Agricultural Experiment Station","2022-12",92.5,2022-12-01
"Agricultural Experiment Station","2023-03",20.4,2023-03-01
"Agricultural Experiment Station","2023-04",4.29,2023-04-01
"Agricultural Experiment Station","2023-05",66.64,2023-05-01
"Agricultural Experiment Station","2023-06",9.92,2023-06-01
"Agricultural Experiment Station","2023-07",14.44,2023-07-01
"Agricultural Experiment Station","2023-08",1.84,2023-08-01
"Agricultural Experiment Station","2023-11",2.58,2023-11-01
"Agricultural Experiment Station","2023-12",15.93,2023-12-01
"Agricultural Experiment Station","2024-01",57.03,2024-01-01
"Agricultural Experiment Station","2024-02",67.76,2024-02-01
"Agriculture & Applied Economics","2021-07",1402.36,2021-07-01
"Agriculture & Applied Economics","2021-08",1937.45,2021-08-01
"Agriculture & Applied Economics","2021-09",7198.76,2021-09-01
"Agriculture & Applied Economics","2021-10",1259.79,2021-10-01
"Agriculture & Applied Economics","2021-11",6391.92,2021-11-01
"Agriculture & Applied Economics","2021-12",320.97,2021-12-01
"Agriculture & Applied Economics","2022-01",1222.67,2022-01-01
"Agriculture & Applied Economics","2022-02",1777.62,2022-02-01
"Agriculture & Applied Economics","2022-03",2601.86,2022-03-01
"Agriculture & Applied Economics","2022-04",1584.06,2022-04-01
"Agriculture & Applied Economics","2022-05",7456.99,2022-05-01
"Agriculture & Applied Economics","2022-06",1132.05,2022-06-01
"Agriculture & Applied Economics","2022-07",1581.55,2022-07-01
"Agriculture & Applied Economics","2022-08",1001.38,2022-08-01
"Agriculture & Applied Economics","2022-09",22795.36,2022-09-01
"Agriculture & Applied Economics","2022-10",1839.65,2022-10-01
"Agriculture & Applied Economics","2022-11",1402.59,2022-11-01
"Agriculture & Applied Economics","2022-12",707.39,2022-12-01
"Agriculture & Applied Economics","2023-01",983.8,2023-01-01
"Agriculture & Applied Economics","2023-02",855.87,2023-02-01
"Agriculture & Applied Economics","2023-03",1107.12,2023-03-01
"Agriculture & Applied Economics","2023-04",873.48,2023-04-01
"Agriculture & Applied Economics","2023-05",587.93,2023-05-01
"Agriculture & Applied Economics","2023-06",9988.57,2023-06-01
"Agriculture & Applied Economics","2023-07",3832.51,2023-07-01
"Agriculture & Applied Economics","2023-08",8175.05,2023-08-01
"Agriculture & Applied Economics","2023-09",1420.95,2023-09-01
"Agriculture & Applied Economics","2023-10",3020.64,2023-10-01
"Agriculture & Applied Economics","2023-11",812.08,2023-11-01
"Agriculture & Applied Economics","2023-12",983.69,2023-12-01
"Agriculture & Applied Economics","2024-01",3000.84,2024-01-01
"Agriculture & Applied Economics","2024-02",4551.56,2024-02-01
"Agriculture & Applied Economics","2024-03",4883.61,2024-03-01
