"Proposal #","Admin Unit","Instrument Type","PI.x","sponsor type","Prime Sponsor","Project End Date","Project Start Date","Project Title","Proposal Type","Sponsor","Status","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","College/Division","Total Sponsor Costs","Comments","Date","Year","PI.y","Title","Agency","Program","Completion Date","Internal","External","Other","Awarded_Status_By_TIG","Comment by Nick","Correct_Proposal_Status"
"23-0006-P0002","Plant Sciences",,"Andrew R. Kniss","Other Sources",,"4/30/2027","4/1/2012","Weed Biology, Ecology, and Management in Sugarbeet","Supplement","Western Sugar Cooperative","Funded",2024-04-23 19:18:30,,2024-06-13 14:16:00,,"FY2024",,"FY2024",,2024-04-09 09:56:51,"FY2024",14,51,,"Agriculture",32500,,,,,,,,,,,,,,
"23-0006-P0003","Plant Sciences",,"Andrew R. Kniss","Industry",,"4/1/2029","4/1/2025","Weed Biology, Ecology, and Management in Sugarbeet","Supplement","Western Sugar Cooperative","Funded",2025-04-18 21:14:55,,2025-04-18 15:15:23,,"FY2025",,"FY2025",,2025-04-01 11:25:04,"FY2025",17,0,,"Agriculture",28500,,,,,,,,,,,,,,
"23-0066-P0002","Wyo Natural Diversity Database",,"Bonnie L Heidel","U.S. Federal Government",,"8/31/2028","9/3/2024","Plant Species Verification and Checklists for Northern Great Plains Parks","New","National Park Service/Department of the Interior","Funded",2024-07-18 15:31:34,,2024-07-18 09:31:45,,"FY2025",,"FY2025",,2024-06-03 07:00:13,"FY2024",45,0,,"Research & Economic Development",129493,,,,,,,,,,,,,,
"23-0215-P0002","Animal Science",,"Michael E. Dillon","Institutions of Higher Education","National Science Foundation","7/31/2024","8/15/2023","RII Track-2 FEC: Insect Cryobiology and Ecophysiology (ICE) Network: Integrating Genomics, Physiology, and Modeling",,"North Dakota State University","Funded",2024-01-29 21:28:23,,2024-01-29 14:28:49,2024-01-29 14:23:56,"FY2024",,"FY2024","FY2024",2024-01-29 09:42:43,"FY2024",0,0,0,"Agriculture",36125,,,,,,,,,,,,,,
"23-0262-P0002","Physics & Astronomy",,"Daniel A Dale","U.S. Federal Government",,"3/31/2026","4/1/2023","REU Site: Wyoming Astronomy","Renewal","National Science Foundation","Funded",2023-05-02 17:18:09,,2023-05-02 11:18:36,,"FY2023",,"FY2023",,2023-05-02 10:37:18,"FY2023",0,0,,"Engineering",322515,,,,,,,,,,,,,,
"23-0308-P0002","Atmospheric Science",,"Jeffrey R. French","U.S. Federal Government",,"8/31/2026","9/1/2025","Wyoming King Air as a National Facility (CA8)","Supplement","National Science Foundation","Funded",2025-06-11 22:21:48,,2025-07-15 09:43:19,,"FY2025",,"FY2026",,2025-06-08 16:00:15,"FY2025",3,33,,"Engineering",2718164,,,,,,,,,,,,,,
"23-0367-P0002","Psychology",,"Christine L. McKibbin","Wyoming Local Governmental Entities","Centers for Disease Control and Prevention/Department of Health and Human Services","6/29/2027","6/30/2025","Chronic Disease Prevention Network Regional Coordinators - Region 1","Renewal","Wyoming Department of Health","Under Consideration",2025-06-25 22:28:28,2025-06-25 16:28:36,,,"FY2025","FY2025",,,2025-06-17 13:34:27,"FY2025",8,,,"Arts & Sciences",925808.88,,,,,,,,,,,,,,
"23-0392-P0002","Wyoming Geographic Information Science Center",,"Shannon E. Albeke","Wyoming State Governmental Entities",,"6/30/2029","7/1/2024","Geospatial Services - WISDOM & Wyoming Migration Initiative Viewer","Non-Competing Continuation","Wyoming Game and Fish Department","Funded",2025-06-03 17:17:57,2025-06-03 11:18:09,2025-06-27 11:07:57,,"FY2025","FY2025","FY2025",,2025-05-27 14:02:58,"FY2025",7,24,,"Engineering",100000,,,,,,,,,,,,,,
"23-0421-P0002","Civil & Architectural Engineering & Construction Management",,"Liping Wang","U.S. Federal Government",,"10/31/2025","11/1/2024","CAREER: Commercial Building Indoor Greenery Systems' Effects on Thermal Environment and Occupant Comfort under Climate Change","Supplement","National Science Foundation","Funded",2024-11-04 21:45:26,,2025-05-05 15:53:03,,"FY2025",,"FY2025",,2024-10-28 05:56:16,"FY2025",8,182,,"Engineering",30000,,,,,,,,,,,,,,
"23-0446-P0002","Civil & Architectural Engineering & Construction Management",,"Yu Song","U.S. Federal Government",,"9/30/2025","10/1/2022","Hazardous Materials Commodity Flow Study 2019-2021","New","Wyoming Office of Homeland Security","Funded",2024-09-04 19:00:25,2024-09-04 13:00:39,2024-09-25 16:04:35,,"FY2025","FY2025","FY2025",,2024-06-26 13:06:23,"FY2024",70,21,,"Engineering",40000,,,,,,,,,,,,,,
"23-0447-P0002","Zoology & Physiology",,"Jerod Andrew Merkle","U.S. Federal Government",,"2/28/2024","3/1/2023","Effects of bison grazing on migratory animals in Yellowstone National Park","New","National Park Service/Department of the Interior","Funded",2023-05-08 20:13:42,,2023-05-11 14:52:29,,"FY2023",,"FY2023",,2023-05-08 13:41:02,"FY2023",0,3,,"Agriculture",30000,,,,,,,,,,,,,,
"23-0456-P0002","Physics & Astronomy",,"Shawna M. McBride","Non-Profit Organizations","National Aeronautics and Space Administration","5/31/2024","6/1/2023","National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020-2024: Wyoming NASA Space Grant Consortium Proposal","New","ADD NEW","Funded",2023-05-04 20:19:45,,2023-05-04 14:20:17,,"FY2023",,"FY2023",,2023-05-04 14:01:38,"FY2023",0,0,,"Engineering",19000,,,,,,,,,,,,,,
"23-0456-P0003","Physics & Astronomy",,"Shawna M. McBride","U.S. Federal Government",,"6/9/2025","6/10/2024","National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020-2024: Wyoming NASA Space Grant Consortium Proposal","Supplement","National Aeronautics and Space Administration","Funded",2023-09-06 14:27:50,,2025-01-02 13:04:03,,"FY2024",,"FY2025",,2023-07-19 14:39:39,"FY2024",49,484,,"Engineering",910000,,,,,,,,,,,,,,
"23-0487-P0002","School of Energy Resources Directors Office",,"Dario Grana","Industry",,"6/30/2029","7/1/2024","Bayesian Learning Consortium","Other","ADD NEW","Under Consideration",2024-07-01 21:36:56,2025-03-12 13:03:00,,,"FY2025","FY2025",,,2024-06-28 16:27:58,"FY2024",3,,,"School of Energy Resources",250000,,,,,,,,,,,,,,
