"Date","Year","PI","Title","Agency","Program","Completion Date","Internal","External","Other","Awarded_Status_By_TIG","Proposal #","Comment by Nick","Correct_Proposal_Status"
"January",2023,"Duan","UNITED: Multi-pronged resilient approach for addressing climate change effects on communities through interdependent networks","NSF","EPSCoR Track 2","1.24.23","X","X",,,"23-1907-P0001",,"Not Funded"
"February",2023,"Anderson","Acquisition of a LHeP22 System with an automatic helium purifier, and extended helium recovery bag","NSF","MRI","2.14.23","X",,,,"23-1633-P0001",,"Not Funded"
"February",2023,"Park","Acquisition of a Leica STELLARIS 8 FALCON STED Confocal Microscope","NSF","MRI","2.20.23","X",,,,"24-0553-P0001",,"Not Funded"
"March",2023,"de Sousa Oliveira","Forecasting Thermoelectric Performance in 2D Metal-Organic Frameworks hrough Ab Initio Atomistic Modeling","DOE","Early CAREER","3.21.23","X","X","X","Yes","23-1838-P0001",,"Funded"
"March",2023,"McCoy","PROCEED:  Perturbed physics ensemble Regression Optimization Center for ESM Evaluation and Development","DOE","EPSCoR","3.29.23","X","X","X",,"23-1827-P0002",,"Funded"
"March",2023,"Park","CAREER: Dynamic Organelle Communication in Plant Immunity","NSF","CAREER","3.11.23",,,"X",,"23-1669-P0001",,"Not Funded"
"April",2023,"Shukla","CAREER: BrainCAPTCHA: Completely Automated Test for User Verification using Dynamic Brain Biometrics","NSF","CAREER","4.5.23","X",,"X","Yes","24-0083-P0001",,"Funded"
"April",2023,"Tian","RII TrackÂ -4:NSF: Exploring van der Waals Superconducting Josephson Junctions for Robust Qubits","NSF","EPSCoR Track 4","4.10.23","X","X","X",,"23-1552-P0001",,"Funded"
"May",2023,"Nguyen","CAREER: Energy Storage Systems in Microgrids: Optimal Operation and Control","NSF","CAREER","7.22.23","X","X","X",,"24-0093-P0001",,"Funded"
"May",2023,"Wang","Cross-Sectoral Infrastructure Research and Education for Communities","Global Center","Track 2","5.10.23","X",,,"Yes","24-0347-P0001",,"Not Funded"
"June",2023,"Biggs","Wyoming Business Resource Connections (WBRC)","EDA","University Center Economic Development Program","6.28.23","X",,,,"23-1919-P0001",,"Funded"
