"Proposal #","full proposal title","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","Created Date.x","Total Sponsor Costs","Sponsor Deadline","academic affairs","activity type","History Action Day and Comment","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","Actual_Submission_Month_Year","College/Division","Actual_Submission_Quarter","Actual_Funding_Quarter","Sponsor_Type_Grouped","Sponsor_Category","Submission_Status","Submission_Count","Award_Count","Total_Submission_Count","Received_Total_Sponsor_Costs"
"23-0006-P0002","Weed Biology, Ecology, and Management in Sugarbeet","Weed Biology, Ecology, and Management in Sugarbeet","Andrew R. Kniss","Plant Sciences","Funded","Western Sugar Cooperative",,"Plant Sciences","4/1/2012","4/30/2027","Supplement",,"23-0006",2024-04-09 09:56:51,32500,"1/22/2024 12:00:00 AM",,"Applied Research","4/23/2024 01:18:30 PM: after the fact form >> 6/13/2024 02:16:00 PM: OSP has check. Should be processed as a modification/increase to A0001.",2024-04-23 13:18:30,,2024-06-13 14:16:00,,"FY2024",,"FY2024",,2024-04-09 09:56:51,"FY2024",14,51,,"April-2024","Agriculture","Q4 FY2024","Q4 FY2024","Others","Others","Funded",0,1,1,32500
"23-0006-P0003","Weed Biology, Ecology, and Management in Sugarbeet","Weed Biology, Ecology, and Management in Sugarbeet","Andrew R. Kniss","Plant Sciences","Funded","Western Sugar Cooperative",,"Plant Sciences","4/1/2025","4/1/2029","Supplement",,"23-0006",2025-04-01 11:25:04,28500,"4/1/2025 12:00:00 AM",,"Applied Research","4/4/2025 09:00:44 AM: edits >> 4/18/2025 11:54:24 AM: Updating form fields >> 4/18/2025 03:14:55 PM: Check sent to OSP. >> 4/18/2025 03:15:23 PM: Check sent to OSP. Increase and Extension of A0001",2025-04-18 15:14:55,,2025-04-18 15:15:23,,"FY2025",,"FY2025",,2025-04-01 11:25:04,"FY2025",17,0,,"April-2025","Agriculture","Q4 FY2025","Q4 FY2025","Business","Others","Funded",0,1,1,28500
"23-0066-P0002","Tracking Plant Diversity within Northern Great Plains Parks","Plant Species Verification and Checklists for Northern Great Plains Parks","Bonnie L Heidel","Wyo Natural Diversity Database","Funded","National Park Service/Department of the Interior",,"Wyo Natural Diversity Database","9/3/2024","8/31/2028","New",,"23-0066",2024-06-03 07:00:13,129493,"7/3/2024 12:00:00 AM",,"Applied Research","6/25/2024 07:45:30 AM: Couple fixes >> 7/18/2024 09:31:34 AM: Submitted 7/2/2024 in GrantSolutions. >> 7/18/2024 09:31:45 AM: Funded.",2024-07-18 09:31:34,,2024-07-18 09:39:21,,"FY2025",,"FY2025",,2024-06-03 07:00:13,"FY2024",45,0,,"July-2024","Research & Economic Development","Q1 FY2025","Q1 FY2025","Federal","Others","Funded",0,1,1,129493
"23-0215-P0002","RII Track-2 FEC: Insect Cryobiology and Ecophysiology (ICE) Network: Integrating Genomics, Physiology, and Modeling - Course Buyout","RII Track-2 FEC: Insect Cryobiology and Ecophysiology (ICE) Network: Integrating Genomics, Physiology, and Modeling","Michael E. Dillon","Zoology & Physiology","Funded","North Dakota State University","National Science Foundation","Animal Science","8/15/2023","7/31/2024",,,"23-0215",2024-01-29 09:42:43,36125,"1/31/2024 12:00:00 AM",,"Applied Research","1/29/2024 11:24:50 AM: This appears to be the paperwork to get the $36125 course buyout funds added to the budget (from Spring 2023). >> 1/29/2024 02:23:56 PM: Edit IDC >> 1/29/2024 02:24:05 PM: Edit IDC >> 1/29/2024 02:28:23 PM: edits made
 >> 1/29/2024 02:28:49 PM: Ready to sign and return for processing",2024-01-29 14:28:23,,2024-01-29 14:28:49,2024-01-29 14:23:56,"FY2024",,"FY2024","FY2024",2024-01-29 09:42:43,"FY2024",0,0,0,"January-2024","Agriculture","Q3 FY2024","Q3 FY2024","Others","Others","Funded",0,1,1,36125
"23-0262-P0002","REU Site: Wyoming Astronomy 2023-2026","REU Site: Wyoming Astronomy","Daniel A Dale","Engineering & Physical Sciences Deans Office","Funded","National Science Foundation",,"Physics & Astronomy","4/1/2023","3/31/2026","Renewal",,"23-0262",2023-05-02 10:37:18,322515,"9/6/2022 12:00:00 AM",,"Basic Research","5/2/2023 11:18:09 AM: Greensheet. Submitted 09/05/2022 >> 5/2/2023 11:18:36 AM: Funded.",2023-05-02 11:18:09,,2023-05-02 11:18:36,,"FY2023",,"FY2023",,2023-05-02 10:37:18,"FY2023",0,0,,"May-2023","Engineering","Q4 FY2023","Q4 FY2023","Federal","NSF","Funded",0,1,1,322515
"23-0400-P0001","Mechanisms of nuclear morphology regulation","Mechanisms of nuclear size regulation","Daniel L. Levy","Molecular Biology","Closed","National Institutes of Health/Department of Health and Human Services",,"Molecular Biology",,,"Renewal",,"23-0400",2023-04-27 18:52:30,,"1/17/2019 12:00:00 AM",,"Applied Research","4/27/2023 06:52:34 PM: Status set by bulk loader >> 9/21/2023 01:08:37 PM: Flushing out Information
 >> 9/21/2023 01:43:15 PM: Updated Awards proposal with current information
",,,2023-09-21 13:43:15,,,,"FY2024",,2023-04-27 18:52:30,"FY2023",,,,,"Agriculture",,"Q1 FY2024","Federal","NIH","Funded",0,1,1,
"23-0421-P0002","SUPPLEMENT: CAREER: Commercial Building Indoor Greenery Systems' Effects on Thermal Environment and Occupant Comfort under Climate Change","CAREER: Commercial Building Indoor Greenery Systems' Effects on Thermal Environment and Occupant Comfort under Climate Change","Liping Wang","Civil & Architectural Engineering & Construction Management","Funded","National Science Foundation",,"Civil & Architectural Engineering & Construction Management","11/1/2024","10/31/2025","Supplement",,"23-0421",2024-10-28 05:56:16,30000,"10/28/2024 12:00:00 AM",,"Basic Research","11/4/2024 02:45:26 PM: Submitted 10/28/2024 >> 5/5/2025 03:53:03 PM: Funding increase amendment was attached to the award record and the amendment was funded.",2024-11-04 14:45:26,,2025-05-05 15:53:03,,"FY2025",,"FY2025",,2024-10-28 05:56:16,"FY2025",8,182,,"November-2024","Engineering","Q2 FY2025","Q4 FY2025","Federal","NSF","Funded",0,1,1,30000
"23-0446-P0002","Hazardous Materials Commodity Flow Study 2022-2025","Hazardous Materials Commodity Flow Study 2019-2021","Yu Song","Civil & Architectural Engineering & Construction Management","Funded","Wyoming Office of Homeland Security",,"Civil & Architectural Engineering & Construction Management","10/1/2022","9/30/2025","New",,"23-0446",2024-06-26 13:06:23,40000,"8/27/2024 12:00:00 AM",,"Applied Research","8/23/2024 09:08:07 AM: Updating fields >> 9/4/2024 01:00:25 PM: Post-submission review.  Agreement under review. >> 9/4/2024 01:00:39 PM: See award shell for details on agreement review >> 9/25/2024 04:04:35 PM: Funded.",2024-09-04 13:00:25,2024-09-04 13:00:39,2024-09-25 16:04:35,,"FY2025","FY2025","FY2025",,2024-06-26 13:06:23,"FY2024",70,21,,"September-2024","Engineering","Q1 FY2025","Q1 FY2025","Federal","Others","Funded",0,1,1,40000
"23-0447-P0002","Evaluating bison behavior and ecology in Yellowstone National Park","Effects of bison grazing on migratory animals in Yellowstone National Park","Jerod Andrew Merkle","Zoology & Physiology","Funded","National Park Service/Department of the Interior",,"Zoology & Physiology","3/1/2023","2/28/2024","New",,"23-0447",2023-05-08 13:41:02,30000,"2/9/2023 12:00:00 AM",,"Applied Research","5/8/2023 02:13:14 PM: Legacy Proposal >> 5/8/2023 02:13:42 PM: Legacy Proposal >> 5/11/2023 02:52:29 PM: Funded.",2023-05-08 14:13:42,,2023-05-11 14:52:29,,"FY2023",,"FY2023",,2023-05-08 13:41:02,"FY2023",0,3,,"May-2023","Agriculture","Q4 FY2023","Q4 FY2023","Federal","Others","Funded",0,1,1,30000
"23-0456-P0002","Nationwide Eclipse Ballooning Program 2022-2025","National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020-2024: Wyoming NASA Space Grant Consortium Proposal","Shawna M. McBride","Physics & Astronomy","Funded","ADD NEW","National Aeronautics and Space Administration","Physics & Astronomy","6/1/2023","5/31/2024","New",,"23-0456",2023-05-04 14:01:38,19000,"3/31/2023 12:00:00 AM",,"Applied Research","5/4/2023 02:19:45 PM: Legacy Submission >> 5/4/2023 02:20:17 PM: Award received",2023-05-04 14:19:45,,2023-05-04 14:20:17,,"FY2023",,"FY2023",,2023-05-04 14:01:38,"FY2023",0,0,,"May-2023","Engineering","Q4 FY2023","Q4 FY2023","Non-profit","Others","Funded",0,1,1,19000
